Link,Semestre,N do projeto,God Class,Type checking,Long Method,Feature Envy,N code smells,Reliability Issues / R,Debt Ratio / R,Security Hotspots / R,Density Duplication,LOC,Cyclomatic Complexity,Cognitive Complexity,Open Issues,Smells / LOC,Open Issue / LOC,Funções,Classes,SI High,SI Medium,SI Low,Consistência,Intencionalidade,Adaptabilidade
JogoTabuleiro,"24,2",1,0,0,0,0,0,3,"5,10%",7,"0,00%",349,83,33,57,0,"16,33",45,5,9,40,8,9,14,34
JogoTabuleiro,"24,2",1,0,0,2,0,2,4,"5,30%",4,"0,00%",246,49,34,44,"0,81","17,89",22,6,7,35,2,0,8,36
Tabuleiro-Poo,"24,2",1,0,0,4,0,4,2,"8,60%",8,"0,00%",492,113,280,134,"0,81","27,24",29,6,9,106,17,2,32,100
Tabuleiro,"24,2",1,0,0,6,0,6,0,"4,70%",4,"0,00%",253,64,52,41,"2,37","16,21",19,6,8,30,3,6,5,30
Trabalho Jogo de Tabuleiro,"24,2",1,0,0,6,0,6,1,"5,60%",3,"0,00%",307,66,114,48,"1,95","15,64",26,6,5,33,9,0,6,42
tabuleiro_java,"24,2",1,2,0,8,0,10,0,"4,40%",1,"0,00%",297,55,24,43,"3,37","14,48",29,10,1,30,12,3,5,35
JavaGameUece,"24,2",1,2,0,9,0,11,2,"3,60%",4,"0,00%",377,89,62,49,"2,92",13,47,14,2,29,18,1,9,39
Trabalho-1-POO,"24,1",1,2,0,10,1,13,0,"5,50%",2,"6,10%",465,103,48,87,"2,8","18,71",64,9,11,47,29,30,18,39
TrabalhoPOO1,"24,1",1,1,0,11,1,13,7,"3,20%",8,"5,80%",615,142,103,78,"2,11","12,68",62,12,8,51,17,10,18,50
Tabuleiro-POO,"24,1",1,0,0,11,2,13,1,"3,30%",3,"0,00%",256,59,33,30,"5,08","11,72",32,8,3,25,2,0,8,22
JogoDeTabuleiro,"24,2",1,0,0,12,0,12,7,"6,10%",5,"3,80%",625,121,120,128,"1,92","20,48",38,18,16,97,15,4,24,100
npc-1-tabuleiro,"24,2",1,0,0,16,0,16,4,"5,80%",2,"0,00%",319,76,106,83,"5,02","26,02",21,6,7,41,34,24,14,45
Chatinho,"24,2",1,0,0,16,0,16,0,"7,80%",2,"12,70%",300,75,175,58,"5,33","19,33",5,5,2,42,13,2,3,53
trabalhotabuleiro,"24,2",1,3,0,26,1,30,0,"5,60%",0,"8,60%",558,118,89,133,"5,38","23,84",50,18,5,106,22,20,45,68
tabuleiro,"24,2",1,0,0,47,1,48,4,"5,30%",4,"13,90%",413,76,64,92,"11,62","22,28",32,6,5,78,9,3,28,61
