Link,Semestre,N do projeto,God Class,Type checking,Long Method,Feature Envy,N code smells,Reliability Issues / R,Debt Ratio / R,Security Hotspots / R,Density Duplication,LOC,Cyclomatic Complexity,Cognitive Complexity,Open Issues,Smells / LOC,Open Issue / LOC,Funções,Classes,SI High,SI Medium,SI Low,Consistência,Intencionalidade,Adaptabilidade
JogoRobo,"24,2",2,0,0,1,0,1,0,"1,10%",1,0%,293,34,23,10,"0,34","3,41",15,5,3,2,5,3,6,1
Trabalho2-de-POO,"24,1",2,2,0,3,0,5,6,"3,90%",10,"11,40%",802,166,170,115,"0,62","14,34",68,10,23,87,4,18,16,81
npc2-robo,"24,2",2,0,0,6,0,6,1,"5,00%",3,25%,475,116,160,85,"1,26","17,89",34,10,4,47,33,18,12,55
Tratamento-de-Exce--o,"24,2",2,0,0,9,0,9,2,"4,50%",6,"12,30%",470,97,92,64,"1,91","13,62",37,10,2,58,4,0,8,56
JavaRobotUece,"24,2",2,2,0,9,0,11,3,"5,60%",7,27%,466,96,118,84,"2,36","18,03",32,10,9,63,12,1,9,74
Trabalho Tratamento de Excecao,"24,2",2,0,1,14,0,15,2,"5,00%",4,"0,00%",513,126,142,82,"2,92","15,98",36,12,8,49,24,12,6,64
RoboPoo,"24,2",2,2,0,14,2,18,3,"7,00%",3,"41,00%",1250,306,466,277,"1,44","22,16",62,15,28,212,28,25,47,205
POO---ROBO,"24,2",2,0,0,16,0,16,1,"6,50%",4,13.6%,486,137,141,103,"3,29","21,19",34,10,5,75,22,11,4,88
Robozinhos_Java,"24,2",2,1,2,19,1,23,3,"3,60%",7,"3,20%",704,123,127,86,"3,27","12,22",55,15,9,66,11,8,11,67
Pato,"24,2",2,2,0,20,1,23,0,"5,60%",1,"35,50%",694,219,281,120,"3,31","17,29",34,13,10,70,36,1,24,95
TrabalhoPOO2,"24,1",2,2,1,21,7,31,9,"4,20%",11,"8,40%",824,206,205,141,"3,76","17,11",69,14,13,96,31,15,33,93
trabalhorobo,"24,2",1,2,1,24,0,27,0,"4,80%",0,"6,90%",688,184,212,135,"3,92","19,62",42,12,5,105,24,20,42,73
