Link,Semestre,N do projeto,God Class,Type checking,Long Method,Feature Envy,N code smells,Reliability Issues / R,Debt Ratio / R,Security Hotspots / R,Density Duplication,LOC,Cyclomatic Complexity,Cognitive Complexity,Open Issues,Smells / LOC,Open Issue / LOC,Funções,Classes,SI High,SI Medium,SI Low,Consistência,Intencionalidade,Adaptabilidade
JogoRobo,"24,2",2,0,0,1,0,1,0,"1,10%",1,0%,293,34,23,10,"0,34","3,41",15,5,3,2,5,3,6,1
Trabalho2-de-POO,"24,1",2,2,0,3,0,5,6,"3,90%",10,"11,40%",802,166,170,115,"0,62","14,34",68,10,23,87,4,18,16,81
npc2-robo,"24,2",2,0,0,6,0,6,1,"5,00%",3,25%,475,116,160,85,"1,26","17,89",34,10,4,47,33,18,12,55
Tratamento-de-Exce--o,"24,2",2,0,0,9,0,9,2,"4,50%",6,"12,30%",470,97,92,64,"1,91","13,62",37,10,2,58,4,0,8,56
JavaRobotUece,"24,2",2,2,0,9,0,11,3,"5,60%",7,27%,466,96,118,84,"2,36","18,03",32,10,9,63,12,1,9,74
Trabalho Tratamento de Excecao,"24,2",2,0,1,14,0,15,2,"5,00%",4,"0,00%",513,126,142,82,"2,92","15,98",36,12,8,49,24,12,6,64
RoboPoo,"24,2",2,2,0,14,2,18,3,"7,00%",3,"41,00%",1250,306,466,277,"1,44","22,16",62,15,28,212,28,25,47,205
POO---ROBO,"24,2",2,0,0,16,0,16,1,"6,50%",4,13.6%,486,137,141,103,"3,29","21,19",34,10,5,75,22,11,4,88
Robozinhos_Java,"24,2",2,1,2,19,1,23,3,"3,60%",7,"3,20%",704,123,127,86,"3,27","12,22",55,15,9,66,11,8,11,67
Pato,"24,2",2,2,0,20,1,23,0,"5,60%",1,"35,50%",694,219,281,120,"3,31","17,29",34,13,10,70,36,1,24,95
TrabalhoPOO2,"24,1",2,2,1,21,7,31,9,"4,20%",11,"8,40%",824,206,205,141,"3,76","17,11",69,14,13,96,31,15,33,93
trabalhorobo,"24,2",2,2,1,24,0,27,0,"4,80%",0,"6,90%",688,184,212,135,"3,92","19,62",42,12,5,105,24,20,42,73
Trabalho-de-POO-Rob--master,"25,1",2,0,0,8,0,8,0,"4,00%",2,"8,00%",588,144,146,72,"1,36","12,24",42,11,3,63,6,2,10,60
ProjetoRobo_POO-main,"25,1",2,0,0,0,3,3,3,"8,50%",4,"35,30%",1052,263,247,262,"0,29","24,9",40,14,20,214,25,4,6,252
Robot-food-maze,"25,1",2,2,0,21,0,23,3,"3,80%",4,"26,60%",909,179,200,103,"2,53","11,33",47,10,25,53,23,7,26,70
JogoRoboJava,"25,1",2,6,1,32,1,40,0,"2,10%",6,"23,60%",2309,374,406,183,"1,73","7,93",116,19,23,112,42,0,0,23
robo-legal-main,"25,1",2,0,1,8,0,9,2,"6,50%",4,"27,30%",1020,220,367,186,"0,88","18,24",50,13,13,153,16,1,7,178
Java-Jogo-Tabuleiro-Jogo2,"25,1",2,3,1,57,1,62,2,"1,60%",2,"12,20%",1831,356,295,96,"3,39","5,24",122,16,14,70,11,3,12,81
Trabalho2Poo,"25,1",2,1,0,9,0,10,1,"6,60%",4,"5,30%",444,118,128,92,"2,25","20,72",27,10,3,75,13,2,6,84
